Column 1,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,content_re,Positive Sentiment Sum,Negative Sentiment Sum,Positive Sentiment Mean,Negative Sentiment Mean,Overall Sentiment
0,e006a8dc-09d7-4965-8c9f-20673d7b9ff1,Ukaabam Louis,https://play-lh.googleusercontent.com/a-/AFdZucqYpF_w9iDAbZArie-NXdFNG2cADa5Vpa97pyJT4Q,Two good to use,5,0,8.40.0 build 4 50271,9/15/22 13:34,,,two good to use,60,0,60,0,60
1,533cec82-8ccb-49ca-8ac9-66056fe429d7,thomas junior,https://play-lh.googleusercontent.com/a/AItbvmn8Fh25OsKKosoEnWCFPTtebfmcbd9s6iA1MeOl=mo,it has minions on it and he has kid and adult stuff,5,0,8.30.0 build 5 40236,9/15/22 13:29,,,it has minions on it and he has kid and adult stuff,0,0,0,0,0
2,b4fe6ff3-ff7e-40a4-93f6-77778b860b9f,that *one*,https://play-lh.googleusercontent.com/a-/AFdZucolt0NeOQ1jkdFA0GAqN_4ndzgulGrl7TE9-yeYkuc,Great never had any problems,5,0,7.120.3 build 29 35592,9/15/22 13:22,,,great never had any problems,140,0,70,0,70
3,1b27373e-1b30-4582-88ee-198fc4ed9a6f,SHAILESH PATHAK,https://play-lh.googleusercontent.com/a/AItbvmmBArrYlF2jcPdn-ILv1OY9WFsrbhVM2Y_lwp62=mo,"THE PITCHUR QUALITY IS VERY FINE,THAT ONE OF MY BEST FREND TOLD ME",5,0,8.40.0 build 4 50271,9/15/22 13:04,,,the pitchur quality is very fine that one of my best frend told me,90,0,90,0,90
4,3c67b7cd-1303-4854-9b66-c2cb06c30a2f,Philip Berry,https://play-lh.googleusercontent.com/a-/AFdZucp7m52YhKS9ieUbgVAkD_m4QCZ-dzo_qq5ympPC7A,Couldn't live without it 🤷,5,0,8.40.0 build 4 50271,9/15/22 13:02,,,couldn't live without it,0,0,0,0,0
5,ecce6c2a-a81a-490c-a4a7-ad803da38e26,Alexander Michubu,https://play-lh.googleusercontent.com/a/AItbvmkwYHvNofLzauLWgF1-wyWn6SZTMPDuSyU3PjCc=mo,Awesome app to use guys just download it and you no go regret 💙💛,4,0,,9/15/22 13:01,,,awesome app to use guys just download it and you no go regret,90,0,90,0,90
6,613293b7-d1aa-40a7-af61-ecfcd6b5c6c5,Chloe Jones,https://play-lh.googleusercontent.com/a/AItbvmn5d1EOuDQQ2dNy5JrsF1Wsgg3GoUgPyKIcnrpQ=mo,Love that you can watch different things,5,0,8.40.0 build 4 50271,9/15/22 12:50,,,love that you can watch different things,70,0,70,0,70
7,2af931d1-f35e-4871-a147-5937ac811ff0,Rita Ossai,https://play-lh.googleusercontent.com/a/AItbvmkQS5gNy82jbp_SyYb9YYoVwOG-4rqVWS9DKq6e=mo,Wondering how to pay😂😂😂 sapa chok😂😂,5,0,8.27.0 build 5 40228,9/15/22 12:50,,,wondering how to pay sapa chok,0,0,0,0,0
8,13512d51-3937-45fa-8c2e-3500c93d0635,Jane Corralez,https://play-lh.googleusercontent.com/a-/AFdZucp4WSx2b3EG4E6bkjDIyCT10u1y2iP_gyRJ7ONAQg,janecorralez,5,0,8.30.0 build 5 40236,9/15/22 12:44,,,janecorralez,0,0,0,0,0
9,0664645e-c347-4759-8d11-fa2f14648a0b,Emil Vicevic,https://play-lh.googleusercontent.com/a-/AFdZucrnjaeYnoBbHz5AE63Nw6FyCd3YrNiHgzrZ0DiuWg,No Croatian subtitles☹️,5,0,8.39.1 build 12 50268,9/15/22 12:36,,,no croatian subtitles,0,0,0,0,0
10,67a1d717-64f8-49a6-b77a-3c4e1e5d1e46,Sabbir Khan,https://play-lh.googleusercontent.com/a-/AFdZucqBHGjgsE9qslH6714gzoOfDt5eNaQGi3Xouhk4,Good,5,0,8.40.0 build 4 50271,9/15/22 12:26,,,good,60,0,60,0,60
11,947cab6d-0f94-4b10-a3e1-6d57cd5b45eb,selu tech,https://play-lh.googleusercontent.com/a-/AFdZuco21FNC1AP6Rd9nSVU30OBkuKXVYqvbYUnOQnh5JQ,Not yet use it,4,0,8.40.0 build 4 50271,9/15/22 12:26,,,not yet use it,0,0,0,0,0
